strain	virus	date	region	country	division	location	pangolin_lineage	GISAID_clade
hCoV-19/Colombia/ANT-LADS-194524702/2021	ncov	2021-09-22	South America	Colombia	Antioquia	Medellin	AY.26	GK
hCoV-19/Colombia/VAC-UV-28350/2021	ncov	2021-09-27	South America	Colombia	Valle del Cauca	Cali	AY.43	GK
hCoV-19/Colombia/VAC-UV-28539/2021	ncov	2021-10-05	South America	Colombia	Valle del Cauca	Cali	B.1.621.2	GH
hCoV-19/Colombia/VAC-UV-28137/2021	ncov	2021-09-19	South America	Colombia	Valle del Cauca	Cali	B.1.621	GH
hCoV-19/Colombia/VAC-CS-66914637/2021	ncov	2021-09-19	South America	Colombia	Valle del Cauca	Cali	AY.44	GK
hCoV-19/Colombia/VAC-LADS-143748295/2021	ncov	2021-09-24	South America	Colombia	Valle del Cauca	Cali	AY.25	GK
hCoV-19/Colombia/CAL-LADS-175088573/2021	ncov	2021-09-22	South America	Colombia	Caldas	Manizales	AY.20	GK
hCoV-19/Colombia/VAC-UV-28450/2021	ncov	2021-10-01	South America	Colombia	Valle del Cauca	Cali	AY.25.1	GK
hCoV-19/Colombia/VAC-UV-28551/2021	ncov	2021-10-06	South America	Colombia	Valle del Cauca	Cali	AY.20	GK
hCoV-19/Colombia/VAC-LADS-11151955504/2021	ncov	2021-09-21	South America	Colombia	Valle del Cauca	Cali	AY.20	GK
hCoV-19/Colombia/VAC-LADS-11143973729/2021	ncov	2021-09-21	South America	Colombia	Valle del Cauca	Cali	AY.43	GK
hCoV-19/Colombia/VAC-I-1105361330/2021	ncov	2021-09-15	South America	Colombia	Valle del Cauca	Palmira	AY.26	GK
hCoV-19/Colombia/VAC-LADS-1108649450/2021	ncov	2021-09-22	South America	Colombia	Valle del Cauca	Cali	AY.20	GK
hCoV-19/Colombia/VAC-I-1105388755/2021	ncov	2021-09-17	South America	Colombia	Valle del Cauca	Cali	AY.26	GK
hCoV-19/Colombia/VAC-LADS-11106524686/2021	ncov	2021-09-24	South America	Colombia	Valle del Cauca	Cali	AY.26	GK
hCoV-19/Colombia/VAC-I-1144149190/2021	ncov	2021-09-16	South America	Colombia	Valle del Cauca	Cali	AY.26	GK
hCoV-19/Colombia/VAC-I-66919953/2021	ncov	2021-09-15	South America	Colombia	Valle del Cauca	Cali	AY.100	GK
hCoV-19/Colombia/VAC-I-1110283853/2021	ncov	2021-09-14	South America	Colombia	Valle del Cauca	Cali	AY.100	GK
hCoV-19/Colombia/VAC-CS-27274202/2021	ncov	2021-09-17	South America	Colombia	Valle del Cauca	Cali	AY.25	GK
hCoV-19/Colombia/VAC-CS-31642114/2021	ncov	2021-09-17	South America	Colombia	Valle del Cauca	Cali	AY.44	GK
hCoV-19/Colombia/VAC-UV-28500/2021	ncov	2021-10-04	South America	Colombia	Valle del Cauca	Cali	AY.20	GK
hCoV-19/Colombia/VAC-UV-28554/2021	ncov	2021-10-05	South America	Colombia	Valle del Cauca	Cali	AY.20	GK
hCoV-19/Colombia/VAC-UV-28603/2021	ncov	2021-10-06	South America	Colombia	Valle del Cauca	Cali	AY.44	GK
hCoV-19/Colombia/VAC-UV-28496/2021	ncov	2021-10-04	South America	Colombia	Valle del Cauca	Cali	AY.20	GK
hCoV-19/Colombia/VAC-UV-28493/2021	ncov	2021-10-04	South America	Colombia	Valle del Cauca	Cali	AY.20	GK
hCoV-19/Colombia/VAC-UV-28494/2021	ncov	2021-10-04	South America	Colombia	Valle del Cauca	Cali	AY.20	GK
hCoV-19/Colombia/VAC-UV-28477/2021	ncov	2021-10-04	South America	Colombia	Valle del Cauca	Cali	AY.25.1	GK
hCoV-19/Colombia/VAC-UV-28492/2021	ncov	2021-10-04	South America	Colombia	Valle del Cauca	Cali	AY.20	GK
hCoV-19/Colombia/VAC-HUV-202109050483/2021	ncov	2021-09-05	South America	Colombia	Valle del Cauca	Cali	AY.44	GK
hCoV-19/Colombia/VAC-UV-28523/2021	ncov	2021-10-04	South America	Colombia	Valle del Cauca	Cali	AY.100	GK
hCoV-19/Colombia/VAC-I-2760803/2021	ncov	2021-09-10	South America	Colombia	Valle del Cauca	Cali	B.1.617.2	GK
hCoV-19/Colombia/VAC-UV-28495/2021	ncov	2021-10-04	South America	Colombia	Valle del Cauca	Cali	AY.20	GK
hCoV-19/Colombia/VAC-I-16919113/2021	ncov	2021-09-02	South America	Colombia	Valle del Cauca	Cali	AY.43	GK
hCoV-19/Colombia/UN-FVL-66924252/2021	ncov	2021-11-25	South America	Colombia			AY.20	GK
hCoV-19/Colombia/VAC-FVL-1144063930/2022	ncov	2022-01-18	South America	Colombia	Valle del Cauca		BA.1.1	GRA
hCoV-19/Colombia/VAC-FVL-1058932419/2022	ncov	2022-01-03	South America	Colombia	Valle del Cauca		BA.1.1	GRA
hCoV-19/Colombia/DC-CSB-1130622121/2022	ncov	2022-01-30	South America	Colombia	Distrito Capital	Bogota	BA.1.1	GRA
hCoV-19/Colombia/VAC-CSB-10533380/2022	ncov	2022-01-06	South America	Colombia	Valle del Cauca	Cali	BA.1.1	GRA
hCoV-19/Colombia/VAC-CSB-1151941726/2022	ncov	2022-01-06	South America	Colombia	Valle del Cauca	Cali	BA.1.1	GRA
hCoV-19/Colombia/VAC-CSB-1144170099/2022	ncov	2022-01-03	South America	Colombia	Valle del Cauca	Cali	BA.1.1	GRA
hCoV-19/Colombia/VAC-CSB-52964662/2022	ncov	2022-01-05	South America	Colombia	Valle del Cauca	Cali	BA.1	GRA
hCoV-19/Colombia/VAC-CSB-1107058903/2021	ncov	2021-12-24	South America	Colombia	Valle del Cauca	Cali	BA.1.15	GRA
hCoV-19/Colombia/QUI-CSB-16659051/2021	ncov	2021-12-25	South America	Colombia	Quindio	Armenia	BA.1.1	GRA
hCoV-19/Colombia/VAC-CSB-1141519904/2022	ncov	2022-01-05	South America	Colombia	Valle del Cauca	Cali	BA.1.1	GRA
hCoV-19/Colombia/VAC-CSB-1005745353/2021	ncov	2021-12-31	South America	Colombia	Valle del Cauca	Cali	BA.1.1	GRA
hCoV-19/Colombia/VAC-CSB-67014069/2022	ncov	2022-01-01	South America	Colombia	Valle del Cauca	Cali	BA.1.1	GRA
hCoV-19/Colombia/VAC-CSB-66862023/2022	ncov	2022-01-09	South America	Colombia	Valle del Cauca	Cali	BA.1.1	GRA
hCoV-19/Colombia/VAC-CSB-1053819722/2022	ncov	2022-01-05	South America	Colombia	Valle del Cauca	Cali	BA.1.1	GRA
hCoV-19/Colombia/VAC-CSB-1144048879/2022	ncov	2022-01-02	South America	Colombia	Valle del Cauca	Cali	BA.1	GRA
hCoV-19/Colombia/VAC-CSB-66919900/2021	ncov	2021-12-29	South America	Colombia	Valle del Cauca	Cali	BA.1.1	GRA
hCoV-19/Colombia/VAC-CSB-1109926726/2022	ncov	2022-01-02	South America	Colombia	Valle del Cauca	Cali	BA.1.1	GRA
hCoV-19/Colombia/VAC-CSB-19118603/2022	ncov	2022-01-02	South America	Colombia	Valle del Cauca	Cali	BA.1.1	GRA
hCoV-19/Colombia/VAC-CSB-67010603/2021	ncov	2021-12-31	South America	Colombia	Valle del Cauca	Cali	BA.1.1	GRA
hCoV-19/Colombia/VAC-CSB-1234193441/2022	ncov	2022-01-12	South America	Colombia	Valle del Cauca	Cali	BA.1	GRA
hCoV-19/Colombia/VAC-CSB-1005898264/2021	ncov	2021-12-29	South America	Colombia	Valle del Cauca	Cali	BA.1.1	GRA
hCoV-19/Colombia/VAC-CSB-1144079554/2022	ncov	2022-01-22	South America	Colombia	Valle del Cauca	Cali	BA.1.15	GRA
hCoV-19/Colombia/VAC-CSB-10490732/2022	ncov	2022-01-02	South America	Colombia	Valle del Cauca	Cali	BA.1.1	GRA
hCoV-19/Colombia/VAC-CSB-29179993/2021	ncov	2021-12-31	South America	Colombia	Valle del Cauca	Cali	BA.1.1	GRA
hCoV-19/Colombia/VAC-CSB-1010226761/2022	ncov	2022-01-01	South America	Colombia	Valle del Cauca	Cali	BA.1.1	GRA
hCoV-19/Colombia/VAC-CSB-1032458170/2022	ncov	2022-01-03	South America	Colombia	Valle del Cauca	Cali	BA.1.1	GRA
hCoV-19/Colombia/VAC-CSB-31321799/2021	ncov	2021-12-29	South America	Colombia	Valle del Cauca	Cali	BA.1.1	GRA
hCoV-19/Colombia/VAC-CSB-1144160693/2022	ncov	2022-01-30	South America	Colombia	Valle del Cauca	Cali	BA.1.15	GRA
hCoV-19/Colombia/VAC-CSB-1144031933/2022	ncov	2022-01-03	South America	Colombia	Valle del Cauca	Cali	BA.1.1	GRA
hCoV-19/Colombia/VAC-CSB-31250852/2022	ncov	2022-01-01	South America	Colombia	Valle del Cauca	Cali	BA.1.1	GRA
hCoV-19/Colombia/VAC-CSB-1144077860/2022	ncov	2022-01-02	South America	Colombia	Valle del Cauca	Cali	BA.1.1	GRA
hCoV-19/Colombia/VAC-CSB-38986077/2022	ncov	2022-01-03	South America	Colombia	Valle del Cauca	Cali	BA.1	GRA
hCoV-19/Colombia/VAC-CSB-1007370952/2021	ncov	2021-12-31	South America	Colombia	Valle del Cauca	Cali	BA.1.1	GRA
hCoV-19/Colombia/VAC-CSB-1105375660/2022	ncov	2022-01-05	South America	Colombia	Valle del Cauca	Cali	BA.1.1	GRA
hCoV-19/Colombia/VAC-CSB-94459921/2022	ncov	2022-01-02	South America	Colombia	Valle del Cauca	Cali	BA.1.15	GRA
hCoV-19/Colombia/VAC-CSB-1153464349/2021	ncov	2021-11-22	South America	Colombia	Valle del Cauca	Cali	BA.1.1	GRA
hCoV-19/Colombia/VAC-CSB-38555110/2021	ncov	2021-12-29	South America	Colombia	Valle del Cauca	Cali	BA.1	GRA
hCoV-19/Colombia/VAC-CSB-11806448/2022	ncov	2022-01-03	South America	Colombia	Valle del Cauca	Cali	BA.1.1	GRA
hCoV-19/Colombia/VAC-CSB-1005892405/2022	ncov	2022-01-04	South America	Colombia	Valle del Cauca	Cali	BA.1.1	GRA
hCoV-19/Colombia/VAC-CSB-31144375/2021	ncov	2021-12-29	South America	Colombia	Valle del Cauca	Cali	BA.1.1	GRA
hCoV-19/Colombia/VAC-CSB-8042622/2022	ncov	2022-01-03	South America	Colombia	Valle del Cauca		BA.1.17	GRA
hCoV-19/Colombia/VAC-CSB-1005891890/2022	ncov	2022-01-02	South America	Colombia	Valle del Cauca	Cali	BA.1	GRA
hCoV-19/Colombia/VAC-CSB-94318427/2022	ncov	2022-01-22	South America	Colombia	Valle del Cauca	Palmira	BA.1.1	GRA
hCoV-19/Colombia/VAC-CSB-66916936/2022	ncov	2022-01-01	South America	Colombia	Valle del Cauca	Cali	BA.1.1	GRA
hCoV-19/Colombia/VAC-CSB-1130682649/2022	ncov	2022-01-02	South America	Colombia	Valle del Cauca	Cali	BA.1.1	GRA
hCoV-19/Colombia/VAC-FVL-1107071024/2022	ncov	2022-01-03	South America	Colombia	Valle del Cauca		BA.1.15	GRA
hCoV-19/Colombia/VAC-FVL-1144036689/2022	ncov	2022-01-18	South America	Colombia	Valle del Cauca		BA.1.1	GRA
hCoV-19/Colombia/VAC-FVL-1193275246/2022	ncov	2022-01-18	South America	Colombia	Valle del Cauca		BA.1	GRA
hCoV-19/Colombia/VAC-FVL-31919042/2022	ncov	2022-01-18	South America	Colombia	Valle del Cauca		BA.1.15	GRA
hCoV-19/Colombia/VAC-FVL-29117073/2022	ncov	2022-01-18	South America	Colombia	Valle del Cauca		BA.1.15	GRA
hCoV-19/Colombia/VAC-FVL-1143941046/2022	ncov	2022-01-18	South America	Colombia	Valle del Cauca		BA.1.1	GRA
hCoV-19/Colombia/CO-UV-20026419/2021	ncov	2021-07-14	South America	Colombia	Valle del Cauca	Cali	B.1.621	GH
hCoV-19/Colombia/CO-UV-26362/2021	ncov	2021-07-13	South America	Colombia	Valle del Cauca	Cali	B.1.621	GH
hCoV-19/Colombia/VAC-COV_25884/2021	ncov	2021-06-29	South America	Colombia	Valle del Cauca	Cali	B.1.621	GH
hCoV-19/Colombia/VAC-COV_24759/2021	ncov	2021-05-19	South America	Colombia	Valle del Cauca	Cali	B.1.621	GH
hCoV-19/Colombia/VAC-COV_24867/2021	ncov	2021-05-24	South America	Colombia	Valle del Cauca	Cali	B.1.621	GH
hCoV-19/Colombia/VAC-COV_25057/2021	ncov	2021-06-02	South America	Colombia	Valle del Cauca	Cali	B.1.621.1	GH
hCoV-19/Colombia/VAC-COV_25774/2021	ncov	2021-06-28	South America	Colombia	Valle del Cauca	Cali	B.1.621.1	GH
hCoV-19/Colombia/VAC-COV_25810/2021	ncov	2021-06-28	South America	Colombia	Valle del Cauca	Cali	B.1.621	GH
hCoV-19/Colombia/COV_24635/2021	ncov	2021-05-11	South America	Colombia	Valle del Cauca	Cali	C.37	GR
hCoV-19/Colombia/COV_24656/2021	ncov	2021-05-13	South America	Colombia	Valle del Cauca	Cali	P.1	GR
hCoV-19/Colombia/COV_24923/2021	ncov	2021-05-26	South America	Colombia	Valle del Cauca	Cali	C.37	GR
hCoV-19/Colombia/CO-UV-26250/2021	ncov	2021-07-08	South America	Colombia	Valle del Cauca	Cali	B.1.621	GH
hCoV-19/Colombia/CO-UV-26439/2021	ncov	2021-07-14	South America	Colombia	Valle del Cauca	Cali	B.1.621.1	GH
hCoV-19/Colombia/CO-UV-26581/2021	ncov	2021-07-21	South America	Colombia	Choco	Quibdo	B.1.621	GH
hCoV-19/Colombia/CO-UV-26548/2021	ncov	2021-07-19	South America	Colombia	Valle del Cauca	Cali	B.1.621	GH
hCoV-19/Colombia/CO-UV-26723/2021	ncov	2021-07-26	South America	Colombia	Valle del Cauca	Cali	B.1.621	GH
hCoV-19/Colombia/CO-UV-26847/2021	ncov	2021-07-29	South America	Colombia	Valle del Cauca	Cali	B.1.621	GH
hCoV-19/Colombia/CO-UV-20026921/2021	ncov	2021-08-02	South America	Colombia	Valle del Cauca	Cali	B.1.621	GH
hCoV-19/Colombia/CO-UV-20026923/2021	ncov	2021-08-02	South America	Colombia	Valle del Cauca	Cali	B.1.621	GH
hCoV-19/Colombia/CO-UV-20026952/2021	ncov	2021-08-03	South America	Colombia	Valle del Cauca	Cali	B.1.621	GH
hCoV-19/Colombia/CO-UV-20027070/2021	ncov	2021-08-05	South America	Colombia	Valle del Cauca	Cali	B.1.621	GH
hCoV-19/Colombia/CO-UV-20026927/2021	ncov	2021-08-02	South America	Colombia	Valle del Cauca	Cali	B.1.621	GH
hCoV-19/Colombia/CO-UV-20026987/2021	ncov	2021-08-04	South America	Colombia	Caldas	Aguadas	B.1.621	GH
hCoV-19/Colombia/CO-UV-20027036/2021	ncov	2021-08-05	South America	Colombia	Valle del Cauca	Cali	B.1.621	GH
hCoV-19/Colombia/CO-UV-20027091/2021	ncov	2021-08-08	South America	Colombia	Valle del Cauca	Cali	B.1.621.1	GH
hCoV-19/Colombia/CO-UV-20027169/2021	ncov	2021-08-10	South America	Colombia	Valle del Cauca	Cali	B.1.621	GH
hCoV-19/Colombia/CO-UV-20027202/2021	ncov	2021-08-11	South America	Colombia	Valle del Cauca	Cali	B.1.621	GH
hCoV-19/Colombia/CO-UV-20027204/2021	ncov	2021-08-11	South America	Colombia	Valle del Cauca	Cali	B.1.621	GH
hCoV-19/Colombia/CO-UV-20027274/2021	ncov	2021-08-17	South America	Colombia	Valle del Cauca	Cali	B.1.621	GH
hCoV-19/Colombia/CO-UV-20027030/2021	ncov	2021-08-06	South America	Colombia	Valle del Cauca	Cali	B.1.621	GH
hCoV-19/Colombia/CO-UV-20026422/2021	ncov	2021-07-15	South America	Colombia	Valle del Cauca	Cali	C.37	GR
hCoV-19/Colombia/VAC-CSN-1087127670/2021	ncov	2021-11-26	South America	Colombia	Valle Del Cauca	Cali	B.1.617.2	GK
hCoV-19/Colombia/VAC-UV-20026634/2021	ncov	2021-07-21	South America	Colombia	Valle del Cauca	Cali	B.1	G
hCoV-19/Colombia/VAC-LCSS-21081702116-86/2021	ncov	2021-08-17	South America	Colombia	Valle del Cauca	Palmira	B.1.621	GH
hCoV-19/Colombia/VAC-LCSS-21081702079-86/2021	ncov	2021-08-17	South America	Colombia	Valle del Cauca	Palmira	B.1.621	GH
hCoV-19/Colombia/VAC-UV-26361/2021	ncov	2021-07-13	South America	Colombia	Valle del Cauca	Cali	B.1.621	GH
hCoV-19/Colombia/VAC-UV-20026612/2021	ncov	2021-07-21	South America	Colombia	Valle del Cauca	Cali	B.1.621	GH
hCoV-19/Colombia/VAC-UV-20026750/2021	ncov	2021-07-26	South America	Colombia	Valle del Cauca	Cali	B.1.621	GH
hCoV-19/Colombia/VAC-UV-20026844/2021	ncov	2021-07-29	South America	Colombia	Valle del Cauca	Cali	C.37	GR
hCoV-19/Colombia/VAC-LCSS-21081102796-86/2021	ncov	2021-08-11	South America	Colombia	Valle del Cauca	Palmira	B.1.621	GH
hCoV-19/Colombia/VAC-LCSS-21081701723-86/2021	ncov	2021-08-17	South America	Colombia	Valle del Cauca	Cali	B.1.621	GH
hCoV-19/Colombia/VAC-LCSS-21081701870-86/2021	ncov	2021-08-17	South America	Colombia	Valle del Cauca	Cali	AY.20	GK
hCoV-19/Colombia/VAC-LCSS-21081702004-86/2021	ncov	2021-08-17	South America	Colombia	Valle del Cauca	El Cerrito	B.1.621	GH
hCoV-19/Colombia/VAC-UV-20026398/2021	ncov	2021-07-13	South America	Colombia	Valle del Cauca	Cali	B.1.621	GH
hCoV-19/Colombia/VAC-UV-20026511/2021	ncov	2021-07-19	South America	Colombia	Valle del Cauca	Cali	B.1.621	GH
hCoV-19/Colombia/VAC-UV-20026567/2021	ncov	2021-07-20	South America	Colombia	Valle del Cauca	Cali	B.1.621	GH
hCoV-19/Colombia/VAC-UV-20026597/2021	ncov	2021-07-20	South America	Colombia	Valle del Cauca	La Cumbre	B.1.621.1	GH
hCoV-19/Colombia/VAC-UV-20025981/2021	ncov	2021-07-01	South America	Colombia	Valle del Cauca	Cali	B.1.621	GH
hCoV-19/Colombia/VAC-UV-20026043/2021	ncov	2021-07-06	South America	Colombia	Valle del Cauca	Cali	B.1.621	GH
hCoV-19/Colombia/VAC-UV-20026047/2021	ncov	2021-07-06	South America	Colombia	Valle del Cauca	Cali	B.1.621	GH
hCoV-19/Colombia/VAC-UV-20027457/2021	ncov	2021-08-23	South America	Colombia	Valle del Cauca	Cali	B.1.621	GH
hCoV-19/Colombia/VAC-UV-20027476/2021	ncov	2021-08-23	South America	Colombia	Valle del Cauca	Cali	C.37	GR
hCoV-19/Colombia/VAC-UV-20027479/2021	ncov	2021-08-23	South America	Colombia	Valle del Cauca	Cali	B.1.621	GH
hCoV-19/Colombia/VAC-UV-20027517/2021	ncov	2021-08-24	South America	Colombia	Valle del Cauca	Cali	B.1.621	GH
hCoV-19/Colombia/VAC-UV-20027657/2021	ncov	2021-08-30	South America	Colombia	Valle del Cauca	Cali	B.1.621	GH
hCoV-19/Colombia/VAC-UV-20027422/2021	ncov	2021-08-19	South America	Colombia	Valle del Cauca	Jamundi	B.1.621	GH
hCoV-19/Colombia/VAC-UV-20027443/2021	ncov	2021-08-21	South America	Colombia	Valle del Cauca	Cali	B.1.621	GH
hCoV-19/Colombia/VAC-UV-20027298/2021	ncov	2021-08-16	South America	Colombia	Valle del Cauca	Cali	AY.9.2	GK
hCoV-19/Colombia/VAC-UV-20027325/2021	ncov	2021-08-17	South America	Colombia	Valle del Cauca	Cali	B.1.621	GH
hCoV-19/Colombia/VAC-UV-20027368/2021	ncov	2021-08-18	South America	Colombia	Valle del Cauca	Cali	AY.25.1	GK
hCoV-19/Colombia/VAC-CSB-16642275/2021	ncov	2021-10-11	South America	Colombia	Valle del Cauca	Cali	AY.122	GK
hCoV-19/Colombia/VAC-CSB-16590551/2021	ncov	2021-10-07	South America	Colombia	Valle del Cauca	Cali	B.1.617.2	GK
hCoV-19/Colombia/VAC-CSN-31882697/2021	ncov	2021-11-30	South America	Colombia	Valle Del Cauca	Cali	AY.20	GK
hCoV-19/Colombia/VAC-CSN-16798041/2021	ncov	2021-11-29	South America	Colombia	Valle Del Cauca	Cali	AY.20	GK
hCoV-19/Colombia/VAC-CSN-29678705/2021	ncov	2021-12-01	South America	Colombia	Valle Del Cauca	Palmira	AY.122	GK
hCoV-19/Colombia/VAC-CSB-1006166728/2021	ncov	2021-10-13	South America	Colombia	Valle del Cauca	Cali	AY.25.1	GK
hCoV-19/Colombia/VAC-CSN-1113677216/2021	ncov	2021-12-01	South America	Colombia	Valle Del Cauca	Florida	AY.122	GK
hCoV-19/Colombia/VAC-CSN-1127210607/2021	ncov	2021-12-02	South America	Colombia	Valle Del Cauca	Cali	AY.25	GK
hCoV-19/Colombia/VAC-I-31168102/2021	ncov	2021-09-24	South America	Colombia	Valle Del Cauca	Palmira	Unassigned	G
hCoV-19/Colombia/VAC-CSB-1113536244/2021	ncov	2021-10-03	South America	Colombia	Valle Del Cauca	Cali	Unassigned	GK
hCoV-19/Colombia/VAC-CSB-29463442/2021	ncov	2021-10-07	South America	Colombia	Valle Del Cauca	Cali	AY.25.1	GK
hCoV-19/Colombia/VAC-SAD-1113520291/2021	ncov	2021-10-15	South America	Colombia	Valle Del Cauca	Cali	AY.43	GK
hCoV-19/Colombia/VAC-SAD-16725769/2021	ncov	2021-10-15	South America	Colombia	Valle Del Cauca	Cali	AY.20	GK
hCoV-19/Colombia/VAC-SAD-1144179357/2021	ncov	2021-10-15	South America	Colombia	Valle Del Cauca	Cali	AY.25.1	GK
hCoV-19/Colombia/VAC-CSB-1044647587/2021	ncov	2021-10-07	South America	Colombia	Valle Del Cauca	Cali	AY.25.1	GK
hCoV-19/Colombia/VAC-CSB-29098208/2021	ncov	2021-10-07	South America	Colombia	Valle Del Cauca	Cali	AY.25	GK
hCoV-19/Colombia/VAC-CSB-94297379/2021	ncov	2021-10-07	South America	Colombia	Valle Del Cauca	Cali	AY.122	GK
hCoV-19/Colombia/VAC-UV-28808/2021	ncov	2021-10-14	South America	Colombia	Valle Del Cauca	Cali	AY.43	GK
hCoV-19/Colombia/VAC-SAD-6108426/2021	ncov	2021-10-06	South America	Colombia	Valle Del Cauca	Cali	AY.101	GK
hCoV-19/Colombia/VAC-CS-1108649104/2021	ncov	2021-10-02	South America	Colombia	Valle Del Cauca	Cali	AY.20	GK
hCoV-19/Colombia/VAC-SAD-1005894598/2021	ncov	2021-10-04	South America	Colombia	Valle Del Cauca	Cali	AY.20	GK
hCoV-19/Colombia/VAC-CSB-38953406/2021	ncov	2021-10-01	South America	Colombia	Valle Del Cauca	Cali	AY.101	GK
hCoV-19/Colombia/VAC-SAD-10270802/2021	ncov	2021-10-02	South America	Colombia	Valle Del Cauca	Cali	AY.101	GK
hCoV-19/Colombia/VAC-CSB-1143931409/2021	ncov	2021-09-30	South America	Colombia	Valle Del Cauca	Cali	AY.42	GK
hCoV-19/Colombia/VAC-CSB-1144149380/2021	ncov	2021-10-01	South America	Colombia	Valle Del Cauca	Cali	AY.20	GK
hCoV-19/Colombia/VAC-SAD-1144174581/2021	ncov	2021-10-07	South America	Colombia	Valle Del Cauca	Cali	AY.43	GK
hCoV-19/Colombia/VAC-CSB-16643478/2021	ncov	2021-10-07	South America	Colombia	Valle Del Cauca	Cali	AY.20	GK
hCoV-19/Colombia/VAC-CSB-20244111/2021	ncov	2021-09-29	South America	Colombia	Valle Del Cauca	Cali	AY.44	GK
hCoV-19/Colombia/VAC-CS-29568576/2021	ncov	2021-09-29	South America	Colombia	Valle Del Cauca	Cali	AY.100	GK
hCoV-19/Colombia/VAC-CSB-29362561/2021	ncov	2021-09-29	South America	Colombia	Valle Del Cauca	Cali	AY.100	GK
hCoV-19/Colombia/VAC-CSB-1105936158/2021	ncov	2021-09-28	South America	Colombia	Valle Del Cauca	Cali	AY.43	GK
hCoV-19/Colombia/VAC-CSB-6088592/2021	ncov	2021-09-28	South America	Colombia	Valle Del Cauca	Cali	AY.3.1	GK
hCoV-19/Colombia/VAC-CSB-803355507122009/2021	ncov	2021-09-28	South America	Colombia	Valle Del Cauca	Cali	AY.43	GK
hCoV-19/Colombia/VAC-CSB-RC1109683972/2021	ncov	2021-09-30	South America	Colombia	Valle Del Cauca	Cali	AY.42	GK
hCoV-19/Colombia/VAC-CS-38975340/2021	ncov	2021-09-29	South America	Colombia	Valle Del Cauca	Cali	AY.25.1	GK
hCoV-19/Colombia/VAC-CSB-RC1109570534/2021	ncov	2021-09-30	South America	Colombia	Valle Del Cauca	Cali	AY.42	GK
hCoV-19/Colombia/VAC-ASOCLINIC-66900455/2021	ncov	2021-09-22	South America	Colombia	Valle Del Cauca	Cali	AY.101	GK
hCoV-19/Colombia/VAC-I-31883404/2021	ncov	2021-09-25	South America	Colombia	Valle Del Cauca	Cali	AY.25	GK
hCoV-19/Colombia/VAC-I-1114840101/2021	ncov	2021-09-27	South America	Colombia	Valle Del Cauca	Cerrito	AY.101	GK
hCoV-19/Colombia/VAC-I-1114823708/2021	ncov	2021-09-27	South America	Colombia	Valle Del Cauca	Cerrito	AY.101	GK
hCoV-19/Colombia/VAC-SAD-1113655226/2021	ncov	2021-10-04	South America	Colombia	Valle Del Cauca	Palmira	AY.25.1	GK
hCoV-19/Colombia/VAC-SAD-94494050/2021	ncov	2021-10-14	South America	Colombia	Valle Del Cauca	Jamundi	AY.101	GK
hCoV-19/Colombia/VAC-CSB-1107533725/2021	ncov	2021-09-28	South America	Colombia	Valle Del Cauca	Cali	AY.43	GK
hCoV-19/Colombia/VAC-CSB-1130603460/2021	ncov	2021-09-27	South America	Colombia	Valle Del Cauca	Cali	AY.101	GK
hCoV-19/Colombia/VAC-CSB-1117548370/2021	ncov	2021-09-27	South America	Colombia	Valle Del Cauca	Cali	AY.44	GK
hCoV-19/Colombia/VAC-CSB-31309462/2021	ncov	2021-09-27	South America	Colombia	Valle Del Cauca	Cali	AY.103	GK
hCoV-19/Colombia/VAC-ASOCLINIC-16448954/2021	ncov	2021-09-19	South America	Colombia	Valle Del Cauca	Cali	B.1.621	GH
hCoV-19/Colombia/VAC-CS-1143848819/2021	ncov	2021-10-01	South America	Colombia	Valle Del Cauca	Palmira	AY.101	GK
hCoV-19/Colombia/VAC-CSB-1116238607/2021	ncov	2021-09-27	South America	Colombia	Valle Del Cauca	Tulua	AY.122	GK
hCoV-19/Colombia/VAC-CSB-4525878/2021	ncov	2021-10-29	South America	Colombia	Valle Del Cauca	Tulua	AY.43	GK
hCoV-19/Colombia/VAC-UV-28811/2021	ncov	2021-10-10	South America	Colombia	Valle Del Cauca	Yumbo	AY.43	GK
hCoV-19/Colombia/VAC-SAD-14975858/2021	ncov	2021-10-01	South America	Colombia	Valle Del Cauca	Cali	B.1.621	GH
hCoV-19/Colombia/VAC-I-1144188384/2021	ncov	2021-09-27	South America	Colombia	Valle Del Cauca	Cali	B.1.621	GH
hCoV-19/Colombia/NAR-SAD-59123865/2021	ncov	2021-10-05	South America	Colombia	Nariño	Pasto	B.1.621	GH
hCoV-19/Colombia/VAC-SAD-40769679/2021	ncov	2021-10-16	South America	Colombia	Valle Del Cauca	Guadalajara De Buga	B.1.621	GH
hCoV-19/Colombia/VAC-SAD-1034292410/2021	ncov	2021-10-06	South America	Colombia	Valle Del Cauca	Cali	AY.39	GK
hCoV-19/Colombia/VAC-CSB-1193212846/2021	ncov	2021-09-28	South America	Colombia	Valle Del Cauca	Cali	B.1.621	GH
hCoV-19/Colombia/CAL-SAD-1058142312/2021	ncov	2021-09-29	South America	Colombia	Caldas	Chinchina	B.1.621	GH
hCoV-19/Colombia/CAU-CSB-34530808/2021	ncov	2021-10-01	South America	Colombia	Cauca	Popayan	B.1.621	GH
hCoV-19/Colombia/VAC-SAD-38860396/2021	ncov	2021-10-02	South America	Colombia	Valle Del Cauca	Buga	B.1.621	GH
